"conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username";;;;;;
"1.25E+18,Fri Apr 23 21:07:59 +0000 2021,29002,Melihat Kekeyi dari sudut lain STOP BULLYING -A Thread https://t.co/Yjw38ZWfk9,1.25E+18,https://pbs.twimg.com/media/EWDmXgbU4AMYv49.jpg,,in,,986,1456,7612,https://x.com/atikamldd/status/1252254019587674112,1587119280,atikamldd";;;;;;
"1.23E+18,Fri Aug 25 02:09:19 +0000 2023,6373,Contoh perilaku bullying di jakarta dan sekitarnya https://t.co/hOxFQA5eOM,1.23E+18,https://pbs.twimg.com/media/ER7t8j9UwAUZu9Z.jpg,,in,Alun-Alun Bikini Bottom,303,271,2430,https://x.com/fajar17/status/1233685003151667201,52345055,fajar17";;;;;;
"1.76E+18,Fri Aug 25 02:18:09 +0000 2023,61098, TW / BULLYING ges ternyata pelaku selain anak artis ada yg anak jenderal &amp";" pemilik stasiun TV https://t.co/3eZlYyEzQC,1.76E+18,https://pbs.twimg.com/media/GGsuPjmaAAAKxFS.jpg,,in,Indonesia,1820,3007,7155,https://x.com/tanyakanrl/status/1759550929710510443,1.33E+18,tanyakanrl";;;;;
"1.52E+18,Fri Aug 25 02:30:45 +0000 2023,40001,Bagaimana jika orang yg kamu sebut sahabat ternyata tak pernah menganggapmu sebagai teman? Kisahkan seorang ayah yg mencari tahu alasan putranya bunuh diri Bleak Night hadirkan tontonan sendu dgn topik bullying kesepian &amp";" toxic masculinity yg membuat air mata mengucur deras. https://t.co/swnzgIjFSF,1.52E+18,https://pbs.twimg.com/media/FQtkPj0akAI_pUz.jpg,,in,Indonesia,1198,260,8415,https://x.com/TarizSolis/status/1516415931937079298,43539771,TarizSolis";;;;;
"1.36E+18,Fri Aug 25 02:44:42 +0000 2023,4271,-guys udah ke up beritanya nih. Ini alasan ternyata banyak yang up berita bullying para idol sama aktris? https://t.co/oS2uYtFQLi,1.36E+18,https://pbs.twimg.com/media/Euz3wpCVkAICstp.jpg,,in,RULES DI LINK,322,228,332,https://x.com/starfess/status/1363737206565707779,1.21E+18,starfess";;;;;;
"1.75E+18,Fri Aug 25 03:09:29 +0000 2023,15044,Apa yg dilakukan PS dgn MENJULURKAN LIDAH dan GAYA MENGEJEK ini bkn hanya MENYERANG PERSONAL tapi sdh msk kategori bullying non verbal PELECEHAN PENGHINAAN terhadap sesama manusia sekaligus pelecehan terhadap forum terhormat yg dibiayai oleh keringet rakyat seluruh Indonesia https://t.co/RVE7mQ8HnL,1.75E+18,https://pbs.twimg.com/ext_tw_video_thumb/1745495787310866432/pu/img/i4i7ybU7_OzvYOHu.jpg,,in,Warteg,452,513,4792,https://x.com/BosPurwa/status/1745498087223910793,1.07E+18,BosPurwa";;;;;;
"1.71E+18,Fri Aug 25 03:57:20 +0000 2023,11613,CW // BULLYING PELECEHAN BULLY masih aja yaa gaada takut nya anak skolah skrg. bt itu yg ngebully melakukan pel*cehan kepada yg dibully gk sih? dia kyk bolak balik nyentuh dada anak yg dibully (?) atau kalian liatnya dia lagi klitikin? https://t.co/2GnK7sjI9Q,1.71E+18,https://pbs.twimg.com/media/F8i5Bf_bUAAfThV.jpg,,in,Indonesia,489,1304,1313,https://x.com/tanyakanrl/status/1713824602655485964,1.33E+18,tanyakanrl";;;;;;
"1.71E+18,Fri Aug 25 04:00:05 +0000 2023,3392,[BREAKING NEWS] Perekam &amp";" Penonton Bullying Siswa SMP di Cilacap 5 Anak Diamankan 3 jadi Saksi 2 lagi Terduga Pelaku https://t.co/EIIoYpsPb2,1.71E+18,https://pbs.twimg.com/ext_tw_video_thumb/1707733381893832704/pu/img/IVqCtoRx_Ixbys2m.jpg,,in,Indonesia,77,264,1036,https://x.com/Heraloebss/status/1707733416060629281,1.25E+18,Heraloebss";;;;;
"1.72E+18,Fri Aug 25 04:21:31 +0000 2023,9029, TW // BULLYING KEKERASAN PENGROYOKAN ini pelakunya sendiri yg nyebarin vid ini ke tmn-tmn korban terus dilaporin pihak sekolah maunya damai :( sakit bgt ini :( threadnya aku drop di komen https://t.co/FyD1bVa9H1,1.72E+18,https://pbs.twimg.com/media/F-cmDbvagAAOdsY.jpg,,in,Indonesia,214,753,2402,https://x.com/tanyarlfes/status/1722387227458850918,1371650588,tanyarlfes";;;;;;
"1.65E+18,Fri Aug 25 04:30:18 +0000 2023,4811, cw // tiktok miris bgt yg komen malah pada cyber bullying ke anak bayinya. padahal setauku bayi itu kulitnya sensitif bgt dan gak boleh sembarangan dipegang even udah cuci tangan sekalipun apalagi bayi rentan bgt kena alergi &amp";" infeksi https://t.co/Ud3y3IWtDi,1.65E+18,https://pbs.twimg.com/media/FuG_-zKaYAIHa22.jpg,,in,Indonesia,602,660,378,https://x.com/tanyakanrl/status/1648811213923688448,1.33E+18,tanyakanrl";;;;;
"1.73E+18,Fri Aug 25 04:31:34 +0000 2023,9647,Guys kalian udh pada liat ini blm? Jadi konteksnya si cewe itu pernah jadi korban bullying dari kelas 3 SD lalu dikelas 3 smp dia coba ikut turnamen silat gitu tapi org terdekatnya ngeremehin dia bahkan termasuk ortu dia sendiri gmn ending videonya nanti aku drop direply https://t.co/cbrsXqO8fZ,1.73E+18,https://pbs.twimg.com/media/F_rmaeoawAAOber.jpg,,in,Indonesia,91,271,629,https://x.com/tanyarlfes/status/1727946753213919413,1371650588,tanyarlfes";;;;;;
"1.80E+18,Fri Aug 25 04:39:13 +0000 2023,24297, kdm Hierarchy ️ Drama sekolah tpi isinya s*x narkoboy minum-minum clubbing party bullying ga ada belajarnya tapi seru banget guys tensionnya dpt bgt https://t.co/cL4stnGtJo,1.80E+18,https://pbs.twimg.com/media/GPeSN4EbIAAYyTe.jpg,,in,Rules 👇,1769,1149,1846,https://x.com/kdrama_menfess/status/1799067348567294252,1.01E+18,kdrama_menfess";;;;;;
